number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
0,0.22941460287782217,2020-10-06 03:09:56.733947,2020-10-06 07:16:38.904207,0 days 04:06:42.170260000,64.0,0.2,0.008651768231453354,cosine_with_warmup,16.0,4.0,9.0,256.0,5.328828096310288e-05,,COMPLETE
1,0.20368112118831153,2020-10-06 03:09:57.303400,2020-10-06 08:35:36.191830,0 days 05:25:38.888430000,64.0,0.1,0.00010824802800139776,linear_with_warmup,8.0,1.0,9.0,64.0,1.1491339086144943e-05,,COMPLETE
2,,2020-10-06 03:09:57.449154,2020-10-06 09:11:25.990486,0 days 06:01:28.541332000,320.0,0.0,0.00036835789166405995,cosine_with_warmup,2.0,3.0,10.0,64.0,2.0972992565494204e-05,"Trial 2 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
3,,2020-10-06 03:09:58.420065,2020-10-06 09:03:10.565530,0 days 05:53:12.145465000,320.0,0.2,0.00651645623794547,constant_with_warmup,2.0,2.0,7.0,64.0,6.20352201442733e-06,"Trial 3 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
4,0.22101103902583447,2020-10-06 03:09:58.587478,2020-10-06 04:20:43.359157,0 days 01:10:44.771679000,64.0,0.3,0.004630922624605572,linear_with_warmup,16.0,1.0,1.0,128.0,8.360363272585246e-05,,COMPLETE
5,0.22438735115990435,2020-10-06 04:20:44.385612,2020-10-06 06:39:33.091926,0 days 02:18:48.706314000,128.0,0.3,0.0003670994771904428,cosine_with_warmup,2.0,4.0,4.0,256.0,8.633097191630783e-06,,COMPLETE
6,,2020-10-06 06:39:34.098449,2020-10-06 12:55:52.303638,0 days 06:16:18.205189000,128.0,0.0,0.000765658405447934,constant_with_warmup,2.0,3.0,10.0,64.0,8.637306784994451e-06,"Trial 6 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
7,0.12451191087690283,2020-10-06 07:16:39.617987,2020-10-06 10:56:51.083963,0 days 03:40:11.465976000,320.0,0.2,0.00800460611444313,constant_with_warmup,2.0,3.0,7.0,256.0,1.112223717384137e-05,,COMPLETE
8,,2020-10-06 08:35:37.325979,2020-10-06 11:21:39.608093,0 days 02:46:02.282114000,320.0,0.3,0.00015920570651799877,cosine_with_warmup,16.0,4.0,6.0,64.0,6.1484221880230765e-06,"Trial 8 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
9,0.22026734456412694,2020-10-06 09:03:11.220106,2020-10-06 10:59:33.209752,0 days 01:56:21.989646000,64.0,0.2,0.0008221307034790219,linear_with_warmup,1.0,1.0,4.0,256.0,1.2996827813946878e-05,,COMPLETE
10,0.2095907854163103,2020-10-06 09:11:26.153518,2020-10-06 12:39:07.248494,0 days 03:27:41.094976000,256.0,0.3,0.005924031176030296,cosine_with_warmup,8.0,1.0,7.0,192.0,1.1637385611680811e-05,,COMPLETE
11,0.23914747088139948,2020-10-06 10:56:51.425177,2020-10-06 12:38:06.481050,0 days 01:41:15.055873000,64.0,0.1,0.006688866873411913,cosine_with_warmup,2.0,1.0,3.0,192.0,1.4300335487892926e-06,,COMPLETE
12,,2020-10-06 10:59:33.814255,2020-10-06 16:32:38.803983,0 days 05:33:04.989728000,128.0,0.0,0.00015832859808654416,cosine_with_warmup,2.0,3.0,9.0,64.0,6.02887989978508e-06,"Trial 12 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
13,,2020-10-06 11:21:39.733113,2020-10-06 11:22:23.331859,0 days 00:00:43.598746000,256.0,0.0,0.00012299499581697835,cosine_with_warmup,4.0,4.0,3.0,192.0,6.185480950567515e-06,"Trial 13 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
14,,2020-10-06 11:22:24.020689,2020-10-06 11:23:07.531685,0 days 00:00:43.510996000,256.0,0.0,0.00021020487404985593,linear_with_warmup,4.0,2.0,3.0,192.0,5.498292954348343e-05,"Trial 14 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
15,,2020-10-06 11:23:08.524068,2020-10-06 12:10:55.610013,0 days 00:47:47.085945000,256.0,0.2,0.0007566071187043497,constant_with_warmup,2.0,4.0,5.0,128.0,2.2775615394460455e-05,"Trial 15 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
16,0.25649595905151334,2020-10-06 12:10:55.729560,2020-10-06 19:17:03.948213,0 days 07:06:08.218653000,64.0,0.3,0.00048224662427506706,constant_with_warmup,8.0,3.0,9.0,64.0,5.844428800165464e-06,,COMPLETE
17,0.251040910210378,2020-10-06 12:38:06.937051,2020-10-06 18:52:58.070249,0 days 06:14:51.133198000,64.0,0.2,0.0011286615289532846,cosine_with_warmup,16.0,2.0,9.0,64.0,2.8604933475496658e-05,,COMPLETE
18,0.25529663951501774,2020-10-06 12:39:07.577790,2020-10-06 15:22:57.153551,0 days 02:43:49.575761000,64.0,0.0,0.0011190663337037991,constant_with_warmup,2.0,1.0,6.0,192.0,3.097661166546371e-05,,COMPLETE
19,,2020-10-06 12:50:14.708623,2020-10-06 15:46:50.981517,0 days 02:56:36.272894000,192.0,0.2,0.0010019773709439015,constant_with_warmup,2.0,1.0,6.0,64.0,6.96209271782174e-06,"Trial 19 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
20,0.24051739642232237,2020-10-06 12:50:14.856399,2020-10-06 15:03:07.610558,0 days 02:12:52.754159000,192.0,0.3,0.00042630839355804875,cosine_with_warmup,4.0,3.0,3.0,128.0,1.653408213483693e-05,,COMPLETE
21,0.26884105863238106,2020-10-06 12:50:16.118926,2020-10-06 16:52:51.549973,0 days 04:02:35.431047000,256.0,0.2,0.00016389131750062623,constant_with_warmup,4.0,2.0,8.0,192.0,3.6854658674066e-05,,COMPLETE
22,0.25931576189992833,2020-10-06 12:50:16.995877,2020-10-06 18:36:30.479467,0 days 05:46:13.483590000,256.0,0.0,0.00013097222659103324,linear_with_warmup,16.0,1.0,10.0,128.0,3.700190188239244e-05,,COMPLETE
23,0.2423950348146048,2020-10-06 12:50:17.265545,2020-10-06 14:23:21.991989,0 days 01:33:04.726444000,192.0,0.0,0.000458065547497363,constant_with_warmup,4.0,4.0,2.0,256.0,3.916292155405955e-05,,COMPLETE
24,0.22295405896522455,2020-10-06 12:55:53.161027,2020-10-06 16:55:52.762392,0 days 03:59:59.601365000,64.0,0.2,0.00034552775310240903,linear_with_warmup,2.0,4.0,9.0,256.0,3.147003949904086e-05,,COMPLETE
25,,2020-10-06 14:23:22.736258,2020-10-06 18:39:31.841708,0 days 04:16:09.105450000,256.0,0.0,0.0047333950331496675,cosine_with_warmup,16.0,3.0,9.0,128.0,4.578198089378736e-05,"Trial 25 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
26,0.1708834855997346,2020-10-06 15:03:07.956957,2020-10-06 16:19:56.636483,0 days 01:16:48.679526000,192.0,0.0,0.00010259928742440155,constant_with_warmup,4.0,4.0,1.0,192.0,4.310911336460484e-05,,COMPLETE
27,,2020-10-06 15:22:57.993521,2020-10-06 15:46:56.216653,0 days 00:23:58.223132000,192.0,0.0,0.0019104937763563645,constant_with_warmup,4.0,2.0,1.0,192.0,3.917531600580624e-05,"Trial 27 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
28,,2020-10-06 15:46:51.117555,2020-10-06 15:47:42.196662,0 days 00:00:51.079107000,192.0,0.0,0.0017750780350809783,constant_with_warmup,4.0,2.0,1.0,192.0,3.8401726926274065e-05,"Trial 28 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
29,,2020-10-06 15:46:56.345529,2020-10-06 15:47:43.460985,0 days 00:00:47.115456000,192.0,0.0,0.00208466032634599,constant_with_warmup,4.0,2.0,1.0,192.0,4.3899175697480796e-05,"Trial 29 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
30,0.2287310407129329,2020-10-06 15:47:42.389158,2020-10-06 17:00:48.922437,0 days 01:13:06.533279000,192.0,0.0,0.0019889677071328674,constant_with_warmup,4.0,2.0,1.0,192.0,4.018927898147544e-05,,COMPLETE
31,0.2258962181749585,2020-10-06 15:47:43.656322,2020-10-06 17:35:34.966394,0 days 01:47:51.310072000,192.0,0.0,0.002251479265441389,constant_with_warmup,4.0,2.0,1.0,192.0,3.4304964354227626e-05,,COMPLETE
32,,2020-10-06 16:19:57.132735,2020-10-06 16:32:36.446018,0 days 00:12:39.313283000,128.0,0.0,0.0021522311990067452,constant_with_warmup,4.0,2.0,6.0,192.0,3.611068029068352e-05,"Trial 32 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
33,,2020-10-06 16:32:36.651866,2020-10-06 16:33:19.484262,0 days 00:00:42.832396000,128.0,0.0,0.00206678525869333,constant_with_warmup,4.0,2.0,6.0,192.0,3.1177340213304905e-05,"Trial 33 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
34,,2020-10-06 16:32:39.176014,2020-10-06 16:33:19.023526,0 days 00:00:39.847512000,256.0,0.0,0.002021003950199581,constant_with_warmup,4.0,2.0,6.0,192.0,2.96187869125952e-05,"Trial 34 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
35,,2020-10-06 16:33:19.831585,2020-10-06 16:51:10.277798,0 days 00:17:50.446213000,128.0,0.0,0.0016361645941836281,constant_with_warmup,4.0,2.0,6.0,192.0,3.704200630392198e-05,"Trial 35 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
